,Sample1,Sample2,L1norm,comp,n_sites
137,K002465_S21.lf_filt,K002187_S21.lf_filt,14.180246000000002,29,1421
138,K002466_S22.lf_filt,K002187_S21.lf_filt,16.20447,30,1421
139,K002467_S23.lf_filt,K002187_S21.lf_filt,19.756704,31,1421
140,K002472_S28.lf_filt,K002187_S21.lf_filt,30.109392,32,1421
141,K002474_S30.lf_filt,K002187_S21.lf_filt,12.015144,33,1421
142,KPCOVID-0007_S5.lf_filt,K002187_S21.lf_filt,25.243848,34,1421
143,KPCOVID-0011_S9.lf_filt,K002187_S21.lf_filt,20.875654000000004,35,1421
144,KPCOVID-0016_S4.lf_filt,K002187_S21.lf_filt,27.83439,36,1421
145,KPCOVID-0017_S5.lf_filt,K002187_S21.lf_filt,20.214664,37,1421
146,KPCOVID-0021REP_S7.lf_filt,K002187_S21.lf_filt,52.753094000000004,38,1421
147,KPCOVID-0026_S4.lf_filt,K002187_S21.lf_filt,28.632578,39,1421
148,KPCOVID-0033_S11.lf_filt,K002187_S21.lf_filt,29.545612,40,1421
149,KPCOVID-0035_S1.lf_filt,K002187_S21.lf_filt,28.663710000000002,41,1421
150,KPCOVID-0041_S6.lf_filt,K002187_S21.lf_filt,26.002337999999998,42,1421
151,KPCOVID-0055_S9.lf_filt,K002187_S21.lf_filt,21.991446,43,1421
152,KPCOVID-0056_S10.lf_filt,K002187_S21.lf_filt,28.14197,44,1421
153,KPCOVID-0057_S11.lf_filt,K002187_S21.lf_filt,32.927966,45,1421
154,KPCOVID-0065_S7.lf_filt,K002187_S21.lf_filt,34.361233999999996,46,1421
155,KPCOVID-0066_S8.lf_filt,K002187_S21.lf_filt,27.40417,47,1421
156,KPCOVID-0067_S9.lf_filt,K002187_S21.lf_filt,25.283296,48,1421
157,KPCOVID-0097_S9.lf_filt,K002187_S21.lf_filt,30.251829999999998,49,1421
158,KPCOVID-0111_S2.lf_filt,K002187_S21.lf_filt,36.91222400000001,50,1421
159,KPCOVID-0112_S3.lf_filt,K002187_S21.lf_filt,18.828533999999998,51,1421
160,KPCOVID-0113_S4.lf_filt,K002187_S21.lf_filt,20.876140000000003,52,1421
161,KPCOVID-0115_S6.lf_filt,K002187_S21.lf_filt,18.394326,53,1421
162,KPCOVID-0116_S7.lf_filt,K002187_S21.lf_filt,18.109392,54,1421
163,KPCOVID-0118_S9.lf_filt,K002187_S21.lf_filt,19.224781999999998,55,1421
164,KPCOVID-0119_S10.lf_filt,K002187_S21.lf_filt,16.832616,56,1421
165,KPCOVID-0120_S11.lf_filt,K002187_S21.lf_filt,21.92655,57,1421
166,KPCOVID-0121_S12.lf_filt,K002187_S21.lf_filt,18.109392,58,1421
167,KPCOVID-0122_S1.lf_filt,K002187_S21.lf_filt,18.109392,59,1421
168,KPCOVID-0157_S6.lf_filt,K002187_S21.lf_filt,10.214032,60,1421
169,KPCOVID-0158_S7.lf_filt,K002187_S21.lf_filt,24.109392,61,1421
170,KPCOVID-0159_S8.lf_filt,K002187_S21.lf_filt,20.534772,62,1421
171,KPCOVID-0160_S9.lf_filt,K002187_S21.lf_filt,22.458334,63,1421
172,KPCOVID-0161_S10.lf_filt,K002187_S21.lf_filt,22.37577,64,1421
173,KPCOVID-0162_S11.lf_filt,K002187_S21.lf_filt,22.109392,65,1421
174,KPCOVID-0163_S1.lf_filt,K002187_S21.lf_filt,21.815911999999997,66,1421
175,KPCOVID-0164_S2.lf_filt,K002187_S21.lf_filt,23.437129999999996,67,1421
176,KPCOVID-0165_S3.lf_filt,K002187_S21.lf_filt,19.745606000000002,68,1421
177,KPCOVID-0167_S4.lf_filt,K002187_S21.lf_filt,22.109392,69,1421
178,KPCOVID-0168_S5.lf_filt,K002187_S21.lf_filt,22.061376,70,1421
179,KPCOVID-0171_S8.lf_filt,K002187_S21.lf_filt,23.04775,71,1421
180,KPCOVID-0172_S9.lf_filt,K002187_S21.lf_filt,22.32342,72,1421
181,KPCOVID-0173_S10.lf_filt,K002187_S21.lf_filt,22.542714,73,1421
182,KPCOVID-0174_S11.lf_filt,K002187_S21.lf_filt,22.437348,74,1421
183,KPCOVID-0293_S8.lf_filt,K002187_S21.lf_filt,33.971428,75,1421
184,KPCOVID-0299_S13.lf_filt,K002187_S21.lf_filt,36.484294,76,1421
185,KPCOVID-0300_S14.lf_filt,K002187_S21.lf_filt,28.491542,77,1421
186,KPCOVID-040-R_S13.lf_filt,K002187_S21.lf_filt,30.12374,78,1421
187,KPCOVID-191_S72.lf_filt,K002187_S21.lf_filt,45.828334,79,1421
188,KPCOVID-192_S73.lf_filt,K002187_S21.lf_filt,30.729657999999997,80,1421
189,KPCOVID-193_S8.lf_filt,K002187_S21.lf_filt,22.259172,81,1421
190,KPCOVID-194_S9.lf_filt,K002187_S21.lf_filt,23.303988,82,1421
191,KPCOVID-195_S10.lf_filt,K002187_S21.lf_filt,32.552284,83,1421
192,KPCOVID-196_S77.lf_filt,K002187_S21.lf_filt,45.085492,84,1421
193,KPCOVID-260_S62.lf_filt,K002187_S21.lf_filt,56.92721,85,1421
194,KPCOVID-261_S63.lf_filt,K002187_S21.lf_filt,47.182196000000005,86,1421
195,KPCOVID-458_S39.lf_filt,K002187_S21.lf_filt,28.109392,87,1421
196,KPCOVID-460_S41.lf_filt,K002187_S21.lf_filt,22.109392,88,1421
197,KPCOVID-462_S43.lf_filt,K002187_S21.lf_filt,20.137169999999998,89,1421
198,KPCOVID-550_S22.lf_filt,K002187_S21.lf_filt,23.924287999999997,90,1421
199,KPCOVID-555_S27.lf_filt,K002187_S21.lf_filt,31.989642,91,1421
200,KPCOVID-556_S28.lf_filt,K002187_S21.lf_filt,19.102926,92,1421
201,KPCOVID-558_S30.lf_filt,K002187_S21.lf_filt,28.807436,93,1421
202,KPCOVID-561_S33.lf_filt,K002187_S21.lf_filt,20.914282,94,1421
203,KPCOVID-563_S35.lf_filt,K002187_S21.lf_filt,23.99083,95,1421
204,KPCOVID-564_S36.lf_filt,K002187_S21.lf_filt,27.230396,96,1421
205,KPCOVID-567_S38.lf_filt,K002187_S21.lf_filt,23.454218,97,1421
206,KPCOVID-568_S39.lf_filt,K002187_S21.lf_filt,14.147077999999999,98,1421
207,KPCOVID-569_S40.lf_filt,K002187_S21.lf_filt,30.799602,99,1421
208,KPCOVID-74_S4.lf_filt,K002187_S21.lf_filt,33.36555,100,1421
209,KPCOVID-75_S5.lf_filt,K002187_S21.lf_filt,28.925518,101,1421
210,KPCOVID-80_S10.lf_filt,K002187_S21.lf_filt,36.553938,102,1421
211,KPCOVID-81_S11.lf_filt,K002187_S21.lf_filt,32.464658,103,1421
212,KPCOVID-84_S2.lf_filt,K002187_S21.lf_filt,35.245892,104,1421
213,KPCOVID-88_S6.lf_filt,K002187_S21.lf_filt,28.212058,105,1421
214,KPCOVID-89_S7.lf_filt,K002187_S21.lf_filt,34.421848,106,1421
215,KPCOVID-91_S9.lf_filt,K002187_S21.lf_filt,34.466814,107,1421
0,K002188_S22.lf_filt,K002189_S23.lf_filt,17.278776,2,1421
1,K002188_S22.lf_filt,K002190_S24.lf_filt,29.373292,3,1421
2,K002188_S22.lf_filt,K002191_S25.lf_filt,20.352374,4,1421
3,K002188_S22.lf_filt,K002192_S26.lf_filt,27.878076,5,1421
4,K002188_S22.lf_filt,K002194_S28.lf_filt,37.27877599999999,6,1421
5,K002188_S22.lf_filt,K002195_S29.lf_filt,35.278776,7,1421
6,K002188_S22.lf_filt,K002196_S30.lf_filt,31.532663999999997,8,1421
7,K002188_S22.lf_filt,K002197_S31.lf_filt,21.839022,9,1421
8,K002188_S22.lf_filt,K002198_S32.lf_filt,25.712585999999998,10,1421
9,K002188_S22.lf_filt,K002199_S33.lf_filt,18.924232,11,1421
10,K002188_S22.lf_filt,K002200_S34.lf_filt,24.847298000000002,12,1421
11,K002188_S22.lf_filt,K002202_S36.lf_filt,19.647272,13,1421
12,K002188_S22.lf_filt,K002203_S37.lf_filt,23.442296,14,1421
13,K002188_S22.lf_filt,K002204_S38.lf_filt,32.00971199999999,15,1421
14,K002188_S22.lf_filt,K002205_S39.lf_filt,33.133145999999996,16,1421
15,K002188_S22.lf_filt,K002206_S40.lf_filt,34.059034,17,1421
16,K002188_S22.lf_filt,K002208_S41.lf_filt,29.025057999999998,18,1421
17,K002188_S22.lf_filt,K002209_S42.lf_filt,30.27293,19,1421
18,K002188_S22.lf_filt,K002210_S43.lf_filt,31.278775999999997,20,1421
19,K002188_S22.lf_filt,K002211_S44.lf_filt,24.87642,21,1421
20,K002188_S22.lf_filt,K002454_S10.lf_filt,29.278775999999997,22,1421
21,K002188_S22.lf_filt,K002455_S11.lf_filt,31.231227999999998,23,1421
22,K002188_S22.lf_filt,K002456_S12.lf_filt,31.465248,24,1421
23,K002188_S22.lf_filt,K002457_S13.lf_filt,31.561007999999998,25,1421
24,K002188_S22.lf_filt,K002460_S16.lf_filt,24.613139999999998,26,1421
25,K002188_S22.lf_filt,K002461_S17.lf_filt,23.726054,27,1421
26,K002188_S22.lf_filt,K002463_S19.lf_filt,31.438256,28,1421
27,K002188_S22.lf_filt,K002464_S20.lf_filt,34.53696600000001,29,1421
28,K002188_S22.lf_filt,K002465_S21.lf_filt,33.349630000000005,30,1421
29,K002188_S22.lf_filt,K002466_S22.lf_filt,27.183698,31,1421
30,K002188_S22.lf_filt,K002467_S23.lf_filt,19.99026,32,1421
31,K002188_S22.lf_filt,K002472_S28.lf_filt,29.278776,33,1421
32,K002188_S22.lf_filt,K002474_S30.lf_filt,31.184527999999997,34,1421
33,K002188_S22.lf_filt,KPCOVID-0007_S5.lf_filt,24.413232,35,1421
